buy_in,multiplier,position,result,cev,adjusted_cev
1.0,3.0,3,-1.0,-300,73.33971999999994
1.0,2.0,2,-1.0,-300,-21.818820000000017
1.0,10.0,1,9.0,600,444.74378
1.0,3.0,2,-1.0,-300,215.35733999999997
1.0,3.0,3,-1.0,-300,-135.63719299999997
1.0,2.0,2,-1.0,-300,-96.1668
1.0,2.0,2,-1.0,-300,-101.86024
1.0,2.0,2,-1.0,-300,140.9105
1.0,10.0,1,9.0,600,443.378724
1.0,2.0,1,1.0,600,-306.66524000000004
1.0,2.0,2,-1.0,-300,-109.97169000000005
1.0,2.0,3,-1.0,-300,-280.5432
1.0,3.0,1,2.0,600,173.51039999999998
1.0,4.0,1,3.0,600,285.85463
1.0,2.0,3,-1.0,-300,-103.7372
1.0,2.0,3,-1.0,-300,132.02634
1.0,4.0,2,-1.0,-300,-150.80314
1.0,3.0,2,-1.0,-300,130.92502000000005
1.0,3.0,1,2.0,600,328.8184
1.0,2.0,2,-1.0,-300,-28.86204600000002
1.0,2.0,2,-1.0,-300,276.2941
1.0,3.0,1,2.0,600,90.79853999999995
1.0,2.0,1,1.0,600,600.0
1.0,3.0,1,2.0,600,560.9434849999999
1.0,3.0,2,-1.0,-300,-103.73755999999997
1.0,5.0,1,4.0,600,114.13626000000002
1.0,5.0,2,-1.0,-300,36.265364000000034
1.0,2.0,3,-1.0,-300,-279.11868
1.0,2.0,2,-1.0,-300,-56.85686000000004
1.0,2.0,3,-1.0,-300,82.04095599999998
1.0,2.0,3,-1.0,-300,-35.827800000000025
1.0,2.0,3,-1.0,-300,-56.00178
1.0,3.0,2,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,-167.95539
1.0,10.0,3,-1.0,-300,-287.76489
1.0,2.0,2,-1.0,-300,356.86622
1.0,2.0,1,1.0,600,172.53166000000004
1.0,2.0,3,-1.0,-300,122.84199999999998
1.0,2.0,2,-1.0,-300,-174.46558000000005
1.0,2.0,1,1.0,600,121.887
1.0,2.0,3,-1.0,-300,-134.18794599999998
1.0,4.0,3,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,184.77297999999993
1.0,2.0,1,1.0,600,304.35340599999995
1.0,4.0,2,-1.0,-300,-300.0
1.0,4.0,2,-1.0,-300,-36.19501999999996
1.0,2.0,1,1.0,600,332.7245800000001
1.0,4.0,3,-1.0,-300,287.9053399999999
1.0,3.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-292.76567
1.0,2.0,1,1.0,600,110.54782000000003
1.0,2.0,1,1.0,600,347.6808
1.0,4.0,2,-1.0,-300,462.6636400000001
1.0,4.0,1,3.0,600,90.81300000000005
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-19.20995999999994
1.0,2.0,1,1.0,600,231.67381000000006
1.0,3.0,3,-1.0,-300,77.37772000000001
1.0,3.0,2,-1.0,-300,-317.2357200000001
1.0,4.0,1,3.0,600,302.346458
1.0,2.0,1,1.0,600,233.42499
1.0,3.0,2,-1.0,-300,434.61741599999993
1.0,4.0,3,-1.0,-300,-14.206439999999986
1.0,4.0,2,-1.0,-300,68.88529999999992
1.0,2.0,2,-1.0,-300,-199.14528
1.0,3.0,1,2.0,600,501.23276
1.0,2.0,3,-1.0,-300,-219.01871999999997
1.0,2.0,2,-1.0,-300,-228.125
1.0,2.0,1,1.0,600,257.48536
1.0,3.0,3,-1.0,-300,113.68632000000002
1.0,3.0,2,-1.0,-300,-35.71179000000001
1.0,2.0,2,-1.0,-300,-240.16392000000008
1.0,2.0,3,-1.0,-300,-17.189970000000017
1.0,10.0,1,9.0,600,39.13837999999997
1.0,2.0,2,-1.0,-300,-178.53762
1.0,5.0,2,-1.0,-300,13.406315000000006
1.0,5.0,1,4.0,600,128.96361000000002
1.0,2.0,1,1.0,600,-117.51094999999998
1.0,3.0,2,-1.0,-300,-153.1923
1.0,3.0,2,-1.0,-300,-367.071602
1.0,3.0,1,2.0,600,48.60733499999998
1.0,3.0,3,-1.0,-300,-109.35059999999999
1.0,2.0,2,-1.0,-300,-200.55450999999994
1.0,4.0,2,-1.0,-300,214.59584999999993
1.0,3.0,2,-1.0,-300,23.88664
1.0,3.0,1,2.0,600,2.946369999999888
1.0,3.0,2,-1.0,-300,-3.646979999999971
1.0,2.0,1,1.0,600,504.9996
1.0,2.0,2,-1.0,-300,-396.6136400000001
1.0,3.0,3,-1.0,-300,-138.80880000000002
1.0,2.0,1,1.0,600,622.326145
1.0,2.0,1,1.0,600,105.20794999999998
1.0,2.0,3,-1.0,-300,-215.508
1.0,2.0,1,1.0,600,600.0
1.0,2.0,3,-1.0,-300,-78.98586
1.0,3.0,3,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-18.4335200000001
1.0,3.0,2,-1.0,-300,-120.53830000000002
1.0,2.0,1,1.0,600,505.93386000000004
1.0,3.0,1,2.0,600,422.03598
1.0,3.0,2,-1.0,-300,-96.0815
1.0,2.0,2,-1.0,-300,-2.592649999999992
1.0,5.0,3,-1.0,-300,5.0903299999999945
1.0,3.0,2,-1.0,-300,-131.53578
1.0,3.0,3,-1.0,-300,14.922020000000032
1.0,3.0,3,-1.0,-300,-133.887
1.0,3.0,1,2.0,600,188.09339
1.0,2.0,1,1.0,600,-223.47773999999995
1.0,2.0,1,1.0,600,600.0
1.0,2.0,1,1.0,600,207.8027
1.0,2.0,3,-1.0,-300,-39.25800000000004
1.0,2.0,3,-1.0,-300,47.78815
1.0,2.0,3,-1.0,-300,-100.92670000000001
1.0,2.0,1,1.0,600,600.0
1.0,2.0,3,-1.0,-300,-275.70678
1.0,2.0,1,1.0,600,598.7842800000001
1.0,2.0,2,-1.0,-300,-157.61712
1.0,2.0,1,1.0,600,409.8755
1.0,2.0,2,-1.0,-300,-184.45312
1.0,2.0,2,-1.0,-300,-66.69873600000005
